Rank,Club,Matches,Wins,Draws,Losses,Goal_diff,Points
1,Real Madrid CF,506,304,85,117,549,997
2,Bayern Múnich,407,243,80,84,449,809
3,FC Barcelona,360,207,80,73,340,701
4,Juventus de Turín,312,156,74,82,172,542
5,Manchester United,289,153,69,67,224,528
6,Liverpool FC,245,139,48,58,228,465
7,AC Milan,275,132,70,73,173,463
8,SL Benfica,283,122,63,98,112,429
9,FC Oporto,265,120,58,87,86,418
10,Inter de Milán,223,111,56,56,96,389
11,Arsenal FC,216,107,46,63,132,367
12,Chelsea FC,202,104,53,45,159,365
13,Ajax de Ámsterdam,220,100,50,70,90,350
14,Borussia Dortmund,196,94,39,63,91,321
15,París Saint-Germain FC,173,94,30,49,149,312
16,Atlético de Madrid,181,89,44,48,88,311
17,Manchester City,142,78,29,35,129,263
18,PSV Eindhoven,188,65,49,74,-6,244
19,FC Dinamo de Kiev,186,65,41,80,-22,236
20,Celtic FC,166,64,32,70,-8,224
21,Olympique de Lyon,136,58,36,42,49,210
22,RSC Anderlecht,163,53,35,75,-64,194
23,Valencia CF,118,50,34,34,47,184
24,Galatasaray,166,46,41,79,-96,179
25,Olympiacos El Pireo,161,47,30,84,-97,171
26,Estrella Roja de Belgrado,112,50,15,47,28,165
27,Bayer 04 Leverkusen,122,44,28,50,-26,160
28,Rangers FC,131,43,31,57,-44,160
29,Olympique de Marsella,115,45,18,52,23,153
30,Shakhtar Donetsk,126,41,27,58,-55,150
31,AS Mónaco,115,41,26,48,5,149
32,AS Roma,109,41,26,42,-10,149
33,Panathinaikos FC,127,36,37,54,-39,145
34,Club Brujas KV,114,37,25,52,-40,136
35,Feyenoord,97,37,24,36,23,135
36,AC Sparta Praga,110,34,25,51,-38,127
37,FC Spartak de Moscú,104,34,23,47,-23,125
38,CSKA Sofia,88,36,15,37,-2,123
39,Sporting de Lisboa,107,34,19,54,-36,121
40,SSC Nápoles,71,32,18,21,27,114
41,FC Schalke 04,73,29,17,27,-6,104
42,Tottenham Hotspur,66,29,15,22,26,102
43,FC Basilea,82,29,15,38,-36,102
44,Sevilla FC,72,27,20,25,-2,101
45,IFK Göteborg,70,30,10,30,7,100
46,FCSB,89,25,23,41,-26,98
47,CSKA Moscú,86,23,20,43,-43,89
48,SS Lazio,60,23,16,21,9,85
49,RC Deportivo de La Coruña,58,23,15,20,-5,84
50,Rosenborg BK,90,21,21,48,-63,84
51,SV Werder Bremen,60,23,14,23,-3,83
52,FK Austria Viena,65,23,13,29,-8,82
53,Girondins de Burdeos,50,21,16,13,0,79
54,FC Dinamo 1948,56,23,9,24,2,78
55,Standard de Lieja,46,24,5,17,23,77
56,SK Rapid Viena,61,24,5,32,-5,77
57,Zenit de San Petersburgo,64,21,14,29,-15,77
58,FK Dukla Praga,45,22,10,13,17,76
59,RB Leipzig,54,23,6,25,-9,75
60,Borussia Mönchengladbach,51,19,16,16,30,73
61,Fenerbahce,73,20,10,43,-68,70
62,Leeds United,38,20,6,12,33,66
63,Fiorentina,39,18,12,9,8,66
64,Górnik Zabrze,43,20,6,17,4,66
65,AS Saint-Étienne,41,19,7,15,6,64
66,Besiktas JK,70,17,13,40,-77,64
67,Hamburgo SV,39,18,6,15,14,60
68,Újpest FC,40,17,8,15,2,59
69,LOSC Lille,56,14,17,25,-13,59
70,Aston Villa,27,17,4,6,25,55
71,Atalanta de Bérgamo,38,15,10,13,9,55
72,BFC Dynamo,38,15,8,15,2,53
73,Malmoe FF,53,14,11,28,-57,53
74,FC Nantes,40,12,14,14,-2,50
75,Villarreal CF,45,11,16,18,-15,49
76,FC Copenhague,49,12,13,24,-35,49
77,HNK Hajduk Split,26,14,5,7,18,47
78,Legia de Varsovia,32,14,5,13,-8,47
79,Spartak Trnava,24,13,7,4,24,46
80,Partizán de Belgrado,45,13,7,25,-13,46
81,AEK Atenas FC,56,9,19,28,-42,46
82,Stade de Reims,24,14,3,7,33,45
83,GNK Dinamo Zagreb,62,11,11,40,-80,44
84,Vasas FC,27,12,6,9,28,42
85,SG Dynamo Dresden,30,12,6,12,4,42
86,VfB Stuttgart,35,11,8,16,-13,41
87,Red Bull Salzburgo,46,10,11,25,-40,41
88,Nottingham Forest,20,12,4,4,18,40
89,Budapest Honvéd FC,28,12,3,13,-5,39
90,FC Zúrich,33,12,3,18,-22,39
91,BSC Young Boys,43,10,9,24,-43,39
92,Newcastle United,29,11,4,14,0,37
93,Real Sociedad,32,9,9,14,-7,36
94,Ferencváros TC,32,10,6,16,-19,36
95,Athletic Club,29,9,8,12,-5,35
96,Grasshopper Club Zurich,38,9,8,21,-12,35
97,Lokomotiv Moscú,44,9,8,27,-29,35
98,VfL Wolfsburgo,22,10,3,9,0,33
99,Omonia Nicosia,36,10,2,24,-45,32
100,1.FC Frankfurt (Oder),23,10,1,12,5,31
101,FC Colonia,17,7,8,2,8,29
102,SK Sturm Graz,32,9,2,21,-42,29
103,Eintracht Fráncfort​​,20,8,4,8,-5,28
104,Linfield FC,42,5,12,25,-44,27
105,Trabzonspor,20,7,5,8,-9,26
106,APOEL FC,40,5,11,24,-55,26
107,RC Lens,18,6,6,6,-6,24
108,FC Wacker Innsbruck,22,7,3,12,-12,24
109,OGC Niza,14,7,2,5,4,23
110,Slovan Bratislava,24,7,2,15,-24,23
111,ETO FC,14,7,1,6,-3,22
112,Servette FC,17,6,4,7,-3,22
113,Aarhus GF,18,6,4,8,-3,22
114,Lech Poznan,16,7,1,8,-9,22
115,AJ Auxerre,20,7,1,12,-14,22
116,Jeunesse Esch,39,6,3,30,-90,21
117,UC Sampdoria,11,6,2,3,11,20
118,Derby County,12,6,2,4,6,20
119,1.FC Kaiserslautern,12,6,2,4,2,20
120,Brøndby IF,20,5,5,10,-13,20
121,Levski Sofia,30,5,5,20,-27,20
122,HJK Helsinki,28,6,2,20,-46,20
123,FC Erzgebirge Aue,16,5,4,7,3,19
124,Aberdeen FC,12,5,4,3,2,19
125,Ruch Chorzów,14,5,4,5,-5,19
126,BATE Borisov,30,4,7,19,-52,19
127,Dnipro Dnipropetrovsk  (- 2020),12,5,3,4,2,18
128,FC Banik Ostrava,14,5,3,6,-5,18
129,CFR Cluj,18,5,3,10,-8,18
130,Boavista FC,18,4,6,8,-11,18
131,Leicester City,10,5,2,3,1,17
132,RTS Widzew Łódź,16,5,2,9,-3,17
133,Dundee United FC,8,5,1,2,9,16
134,Málaga CF,10,4,4,2,7,16
135,MTK Budapest,10,5,1,4,4,16
136,Wiener Sport-Club,12,4,4,4,3,16
137,1. FC Núremberg​,8,5,1,2,2,16
138,FK Vojvodina Novi Sad,9,5,1,3,1,16
139,FC Kuusysi,14,5,1,8,-13,16
140,SC Braga,18,5,1,12,-18,16
141,FC Ararat Yerevan,6,5,0,1,9,15
142,Dundee FC,8,5,0,3,6,15
