Season,HomeTeam,Result_raw,HomeGoals,AwayGoals,AwayTeam
24/25,París Saint-Germain FC,5:0,5,0,Inter de Milán
23/24,Borussia Dortmund,0:2,0,2,Real Madrid CF
22/23,Manchester City,1:0,1,0,Inter de Milán
21/22,Liverpool FC,0:1,0,1,Real Madrid CF
20/21,Manchester City,0:1,0,1,Chelsea FC
19/20,París Saint-Germain FC,0:1,0,1,Bayern Múnich
18/19,Tottenham Hotspur,0:2,0,2,Liverpool FC
17/18,Real Madrid CF,3:1,3,1,Liverpool FC
16/17,Juventus de Turín,1:4,1,4,Real Madrid CF
15/16,Real Madrid CF,6:4 pen.,6,4,Atlético de Madrid
14/15,Juventus de Turín,1:3,1,3,FC Barcelona
13/14,Real Madrid CF,4:1 pró.,4,1,Atlético de Madrid
12/13,Borussia Dortmund,1:2,1,2,Bayern Múnich
11/12,Bayern Múnich,4:5 pen.,4,5,Chelsea FC
10/11,FC Barcelona,3:1,3,1,Manchester United
09/10,Inter de Milán,2:0,2,0,Bayern Múnich
08/09,FC Barcelona,2:0,2,0,Manchester United
07/08,Manchester United,6:5 pen.,6,5,Chelsea FC
06/07,Liverpool FC,1:2,1,2,AC Milan
05/06,FC Barcelona,2:1,2,1,Arsenal FC
04/05,AC Milan,5:6 pen.,5,6,Liverpool FC
03/04,AS Mónaco,0:3,0,3,FC Oporto
02/03,Juventus de Turín,2:3 pen.,2,3,AC Milan
01/02,Bayer 04 Leverkusen,1:2,1,2,Real Madrid CF
00/01,Bayern Múnich,5:4 pen.,5,4,Valencia CF
99/00,Real Madrid CF,3:0,3,0,Valencia CF
98/99,Manchester United,2:1,2,1,Bayern Múnich
97/98,Real Madrid CF,1:0,1,0,Juventus de Turín
96/97,Borussia Dortmund,3:1,3,1,Juventus de Turín
95/96,Juventus de Turín,5:3 pen.,5,3,Ajax de Ámsterdam
94/95,Ajax de Ámsterdam,1:0,1,0,AC Milan
93/94,AC Milan,4:0,4,0,FC Barcelona
92/93,Olympique de Marsella,1:0,1,0,AC Milan
91/92,FC Barcelona,1:0 pró.,1,0,UC Sampdoria
90/91,Estrella Roja de Belgrado,5:3 pen.,5,3,Olympique de Marsella
89/90,AC Milan,1:0,1,0,SL Benfica
88/89,AC Milan,4:0,4,0,Steaua Bucarest
87/88,PSV Eindhoven,6:5 pen.,6,5,SL Benfica
86/87,FC Oporto,2:1,2,1,Bayern Múnich
85/86,Steaua Bucarest,2:0 pen.,2,0,FC Barcelona
84/85,Juventus de Turín,1:0,1,0,Liverpool FC
83/84,Liverpool FC,5:3 pen.,5,3,AS Roma
82/83,Hamburgo SV,1:0,1,0,Juventus de Turín
81/82,Aston Villa,1:0,1,0,Bayern Múnich
80/81,Liverpool FC,1:0,1,0,Real Madrid CF
79/80,Nottingham Forest,1:0,1,0,Hamburgo SV
78/79,Nottingham Forest,1:0,1,0,Malmoe FF
77/78,Liverpool FC,1:0,1,0,Club Brujas KV
76/77,Liverpool FC,3:1,3,1,Borussia Mönchengladbach
75/76,Bayern Múnich,1:0,1,0,AS Saint-Étienne
74/75,Bayern Múnich,2:0,2,0,Leeds United
73/74,Bayern Múnich,1:1 pró. 4:0,1,1,Atlético de Madrid
72/73,Ajax de Ámsterdam,1:0,1,0,Juventus de Turín
71/72,Ajax de Ámsterdam,2:0,2,0,Inter de Milán
70/71,Ajax de Ámsterdam,2:0,2,0,Panathinaikos FC
69/70,RV & AV Feijenoord,2:1 pró.,2,1,Celtic FC
68/69,AC Milan,4:1,4,1,Ajax de Ámsterdam
67/68,Manchester United,4:1 pró.,4,1,SL Benfica
66/67,Celtic FC,2:1,2,1,Inter de Milán
65/66,Real Madrid CF,2:1,2,1,Partizán de Belgrado
64/65,Inter de Milán,1:0,1,0,SL Benfica
63/64,Inter de Milán,3:1,3,1,Real Madrid CF
62/63,AC Milan,2:1,2,1,SL Benfica
61/62,SL Benfica,5:3,5,3,Real Madrid CF
60/61,SL Benfica,3:2,3,2,CF Barcelona
59/60,Real Madrid CF,7:3,7,3,Eintracht Fráncfort​​
58/59,Real Madrid CF,2:0,2,0,Stade de Reims
57/58,Real Madrid CF,3:2 pró.,3,2,AC Milan
56/57,Real Madrid CF,2:0,2,0,AC Fiorentina
55/56,Real Madrid CF,4:3,4,3,Stade de Reims
