Season_id,Season,Rank,Club,Club_url,Yellow,YellowRed,Red,Dismissals,Points
1994,94/95,1,Galatasaray,https://www.transfermarkt.es/galatasaray-istanbul/startseite/verein/141,8,0,0,0,8
1994,94/95,2,Red Bull Salzburgo,https://www.transfermarkt.es/red-bull-salzburg/startseite/verein/409,8,0,0,0,8
1994,94/95,3,IFK Göteborg,https://www.transfermarkt.es/ifk-goteborg/startseite/verein/801,8,0,0,0,8
1994,94/95,4,FC Barcelona,https://www.transfermarkt.es/fc-barcelona/startseite/verein/131,10,0,0,0,10
1994,94/95,5,Ajax de Ámsterdam,https://www.transfermarkt.es/ajax-amsterdam/startseite/verein/610,10,0,0,0,10
1994,94/95,6,AEK Atenas FC,https://www.transfermarkt.es/aek-athen/startseite/verein/2441,8,1,0,1,11
1994,94/95,7,SL Benfica,https://www.transfermarkt.es/benfica-lissabon/startseite/verein/294,13,0,0,0,13
1994,94/95,8,FC Dinamo de Kiev,https://www.transfermarkt.es/dynamo-kiew/startseite/verein/338,5,1,1,2,13
1994,94/95,9,RSC Anderlecht,https://www.transfermarkt.es/rsc-anderlecht/startseite/verein/58,12,1,0,1,15
1994,94/95,10,Manchester United,https://www.transfermarkt.es/manchester-united/startseite/verein/985,10,0,1,1,15
1994,94/95,11,FC Spartak de Moscú,https://www.transfermarkt.es/spartak-moskau/startseite/verein/232,11,0,1,1,16
1994,94/95,12,AC Milan,https://www.transfermarkt.es/ac-mailand/startseite/verein/5,17,0,0,0,17
1994,94/95,13,París Saint-Germain FC,https://www.transfermarkt.es/fc-paris-saint-germain/startseite/verein/583,17,0,0,0,17
1994,94/95,14,Bayern Múnich,https://www.transfermarkt.es/fc-bayern-munchen/startseite/verein/27,18,0,1,1,23
1994,94/95,15,HNK Hajduk Split,https://www.transfermarkt.es/hnk-hajduk-split/startseite/verein/447,18,0,1,1,23
1994,94/95,16,FCSB,https://www.transfermarkt.es/fcsb/startseite/verein/301,18,1,1,2,26
1995,95/96,1,Rosenborg BK,https://www.transfermarkt.es/rosenborg-bk/startseite/verein/195,5,0,0,0,5
1995,95/96,2,FC Oporto,https://www.transfermarkt.es/fc-porto/startseite/verein/720,10,0,0,0,10
1995,95/96,3,Ferencváros TC,https://www.transfermarkt.es/ferencvaros-budapest/startseite/verein/279,11,0,0,0,11
1995,95/96,4,Borussia Dortmund,https://www.transfermarkt.es/borussia-dortmund/startseite/verein/16,10,1,0,1,13
1995,95/96,5,FC Spartak de Moscú,https://www.transfermarkt.es/spartak-moskau/startseite/verein/232,14,0,0,0,14
1995,95/96,6,Legia de Varsovia,https://www.transfermarkt.es/legia-warschau/startseite/verein/255,9,0,1,1,14
1995,95/96,7,Blackburn Rovers,https://www.transfermarkt.es/blackburn-rovers/startseite/verein/164,7,1,1,2,15
1995,95/96,8,FCSB,https://www.transfermarkt.es/fcsb/startseite/verein/301,7,0,2,2,17
1995,95/96,9,Grasshopper Club Zurich,https://www.transfermarkt.es/grasshopper-club-zurich/startseite/verein/504,14,1,0,1,17
1995,95/96,10,Ajax de Ámsterdam,https://www.transfermarkt.es/ajax-amsterdam/startseite/verein/610,17,0,0,0,17
1995,95/96,11,Aalborg BK,https://www.transfermarkt.es/aalborg-bk/startseite/verein/1053,10,1,1,2,18
1995,95/96,12,Real Madrid CF,https://www.transfermarkt.es/real-madrid/startseite/verein/418,15,0,1,1,20
1995,95/96,13,Panathinaikos FC,https://www.transfermarkt.es/panathinaikos-athen/startseite/verein/265,15,1,1,2,23
1995,95/96,14,Rangers FC,https://www.transfermarkt.es/glasgow-rangers/startseite/verein/124,10,0,3,3,25
