season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,attacking__attacks,attacking__assists,attacking__corners,attacking__offsides,attacking__dribbling,attacking__matches_appearance
1992,52748,MAR,Marseille,Marseille,France,Francia,,,0.0,,,11
1992,50058,MIL,Milan,Milan,Italy,Italia,,,,,,11
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,,,0.0,,,10
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,0.0,,,10
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,,,,,,10
1992,50064,POR,Porto,Porto,Portugal,Portugal,,,,,,10
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,,,,,,10
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,,,0.0,,,10
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,,,,,,5
1992,64227,LPO,Lech Poznań,Lech Poznań,Poland,Polonia,,,,,,4
1992,52824,SIO,Sion,Sion,Switzerland,Suiza,,,,,,4
1992,52797,SLB,S. Bratislava,S. Bratislava,Slovakia,Eslovaquia,,,,,,4
1992,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,,,,,,4
1992,50110,AUS,Austria Wien,Austria Wien,Austria,Austria,,,,,,4
1992,50098,DB,Dinamo Bucureşti,Dinamo Bucureşti,Romania,Rumanía,,,0.0,,,4
1992,50080,BAR,Barcelona,Barcelona,Spain,España,,,,,,4
1992,50107,STU,Stuttgart,Stuttgart,Germany,Alemania,,,,,,3
1992,57489,TAV,Tavriya,Tavriya,Ukraine,Ucrania,,,,,,2
1992,57479,SKO,Skonto,Skonto,Latvia,Letonia,,,,,,2
1992,57477,MTA,M. Tel-Aviv,M. Tel-Aviv,Israel,Israel,,,,,,2
1992,53081,OLJ,Olimpija,Olimpija,Slovenia,Eslovenia,,,,,,2
1992,52697,VKR,Víkingur R.,Víkingur R.,Iceland,Islandia,,,,,,2
1992,52319,VFK,Viking,Viking,Norway,Noruega,,,,,,2
1992,52298,FER,Ferencváros,Ferencváros,Hungary,Hungría,,,,,,2
1992,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,,,,,,2
1992,50140,USL,US Luxembourg,US Luxembourg,Luxembourg,Luxemburgo,,,,,,2
1992,50118,APO,APOEL,APOEL,Cyprus,Chipre,,,,,,2
1992,50082,LAH,Lahti,Lahti,Finland,Finlandia,,,,,,2
1992,50076,CSS,CSKA Sofia,CSKA Sofia,Bulgaria,Bulgaria,,,,,,2
1992,50056,GLE,Glentoran,Glentoran,Northern Ireland,Irlanda del Norte,,,0.0,,,2
1992,50020,LYN,Lyngby,Lyngby,Denmark,Dinamarca,,,,,,2
1992,2602334,ZAL,Žalgiris,Žalgiris,Lithuania,Lituania,,,,,,2
1993,50080,BAR,Barcelona,Barcelona,Spain,España,,,0.0,,,12
1993,50058,MIL,Milan,Milan,Italy,Italia,,,0.0,,,12
1993,50064,POR,Porto,Porto,Portugal,Portugal,,,0.0,,,11
1993,50023,MON,Monaco,Monaco,France,Francia,,,0.0,,,11
1993,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,,,0.0,,,10
1993,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,,,,10
1993,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,,,,10
1993,50040,BRM,Bremen,Bremen,Germany,Alemania,,,0.0,,,10
1993,64227,LPO,Lech Poznań,Lech Poznań,Poland,Polonia,,,,,,4
1993,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,,,,,,4
1993,52709,CPH,Copenhagen,Copenhagen,Denmark,Dinamarca,,,,,,4
1993,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,,4
1993,50110,AUS,Austria Wien,Austria Wien,Austria,Austria,,,,,,4
1993,50065,FCSB,FCSB,FCSB,Romania,Rumanía,,,,,,4
1993,50044,LSO,Levski Sofia,Levski Sofia,Bulgaria,Bulgaria,,,,,,4
1993,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,,,,,4
1993,59034,BEI,Beitar,Beitar,Israel,Israel,,,,,,2
1993,57479,SKO,Skonto,Skonto,Latvia,Letonia,,,,,,2
1993,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,,,,2
1993,52803,COR,Cork,Cork,Republic of Ireland,República de Irlanda,,,,,,2
1993,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,,,,2
1993,52341,AIK,AIK,AIK,Sweden,Suecia,,,,,,2
1993,50164,DIN,GNK Dinamo,GNK Dinamo,Croatia,Croacia,,,,,,2
1993,50161,DMI,Dinamo-Minsk,Dinamo-Minsk,Belarus,Bielorrusia,,,,,,2
1993,50135,AKR,ÍA,ÍA,Iceland,Islandia,,,,,,2
1993,50134,LIN,Linfield,Linfield,Northern Ireland,Irlanda del Norte,,,,,,2
1993,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,,,,,,2
1993,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,,,,2
1993,50092,FLO,Floriana,Floriana,Malta,Malta,,,,,,2
