season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,attempts__attempts,attempts__attempts_on_target,attempts__attempts_off_target,attempts__attempts_blocked,attempts__matches_appearance
1992,52748,MAR,Marseille,Marseille,France,Francia,,25.0,,,11
1992,50058,MIL,Milan,Milan,Italy,Italia,,23.0,,,11
1992,50064,POR,Porto,Porto,Portugal,Portugal,,20.0,,,10
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,,15.0,,,10
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,,14.0,,,10
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,,13.0,,,10
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,,12.0,,,10
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,,11.0,,,10
1992,52824,SIO,Sion,Sion,Switzerland,Suiza,,9.0,,,4
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,,8.0,,,5
1992,50110,AUS,Austria Wien,Austria Wien,Austria,Austria,,8.0,,,4
1992,50107,STU,Stuttgart,Stuttgart,Germany,Alemania,,5.0,,,3
1992,52797,SLB,S. Bratislava,S. Bratislava,Slovakia,Eslovaquia,,4.0,,,4
1992,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,,4.0,,,4
1992,50080,BAR,Barcelona,Barcelona,Spain,España,,4.0,,,4
1992,50076,CSS,CSKA Sofia,CSKA Sofia,Bulgaria,Bulgaria,,4.0,,,2
1992,50118,APO,APOEL,APOEL,Cyprus,Chipre,,3.0,,,2
1992,64227,LPO,Lech Poznań,Lech Poznań,Poland,Polonia,,2.0,,,4
1992,50098,DB,Dinamo Bucureşti,Dinamo Bucureşti,Romania,Rumanía,,2.0,,,4
1992,57489,TAV,Tavriya,Tavriya,Ukraine,Ucrania,,2.0,,,2
1992,52697,VKR,Víkingur R.,Víkingur R.,Iceland,Islandia,,2.0,,,2
1992,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,,2.0,,,2
1992,52298,FER,Ferencváros,Ferencváros,Hungary,Hungría,,1.0,,,2
1992,50140,USL,US Luxembourg,US Luxembourg,Luxembourg,Luxemburgo,,1.0,,,2
1992,50082,LAH,Lahti,Lahti,Finland,Finlandia,,1.0,,,2
1992,57479,SKO,Skonto,Skonto,Latvia,Letonia,,,,,2
