season,stage,date,home_team,away_team,score,home_goals,away_goals,extra_time,penalties
,,,Shelbourne,Tavriya Simferopol,1–2,1.0,2.0,False,False
,,,Valletta,Maccabi Tel Aviv,1–3,1.0,3.0,False,False
,,,KÍ,Skonto,1–6,1.0,6.0,False,False
,,,Olimpija Ljubljana,Norma Tallinn,5–0,5.0,0.0,False,False
,,,IFK Göteborg,Beşiktaş,3–2,3.0,2.0,False,False
,,,Lech Poznań,Skonto,2–0,2.0,0.0,False,False
,,,Rangers,Lyngby,3–0,3.0,0.0,False,False
,,,Slovan Bratislava,Ferencváros,4–1,4.0,1.0,False,False
,,,Milan,Olimpija Ljubljana,7–0,7.0,0.0,False,False
,,,Kuusysi,Dinamo București,1–2,1.0,2.0,False,False
,,,Glentoran,Marseille,0–8,0.0,8.0,False,False
,,,Maccabi Tel Aviv,Club Brugge,0–4,0.0,4.0,False,False
,,,Austria Wien,CSKA Sofia,5–4,5.0,4.0,False,False
,,,Sion,Tavriya Simferopol,7–2,7.0,2.0,False,False
,,,Union Luxembourg,Porto,1–9,1.0,9.0,False,False
,,,AEK Athens,APOEL,3–3 (a),3.0,3.0,False,False
,,,PSV Eindhoven,Žalgiris,8–0,8.0,0.0,False,False
,,,Víkingur Reykjavík,CSKA Moscow,2–5,2.0,5.0,False,False
,,,Barcelona,Viking,1–0,1.0,0.0,False,False
,,,IFK Göteborg,Lech Poznań,4–0,4.0,0.0,False,False
,,,Rangers,Leeds United,4–2,4.0,2.0,False,False
,,,Slovan Bratislava,Milan,0–5,0.0,5.0,False,False
,,,Dinamo București,Marseille,0–2,0.0,2.0,False,False
,,,Club Brugge,Austria Wien,3–3 (a),3.0,3.0,False,False
,,,Sion,Porto,2–6,2.0,6.0,False,False
,,,AEK Athens,PSV Eindhoven,1–3,1.0,3.0,False,False
,,,CSKA Moscow,Barcelona,4–3,4.0,3.0,False,False
,,,HJK,Norma Tallinn,2–1,2.0,1.0,False,False
,,,Ekranas,Floriana,0–2,0.0,2.0,False,False
,,,B68,Croatia Zagreb,0–11,0.0,11.0,False,False
,,,Skonto,Olimpija Ljubljana,1–1 (11–10 p),1.0,1.0,False,False
,,,Cwmbrân Town,Cork City,4–4 (a),4.0,4.0,False,False
,,,Avenir Beggen,Rosenborg,0–3,0.0,3.0,False,False
,,,Partizani,ÍA,0–3,0.0,3.0,False,False
,,,Omonia,Aarau,2–3,2.0,3.0,False,False
,,,Zimbru Chișinău,Beitar Jerusalem,1–3,1.0,3.0,False,False
,,,Porto,Floriana,2–0,2.0,0.0,False,False
,,,ÍA,Feyenoord,1–3,1.0,3.0,False,False
,,,Monaco,AEK Athens,2–1,2.0,1.0,False,False
,,,Steaua București,Croatia Zagreb,4–4 (a),4.0,4.0,False,False
,,,Rangers,Levski Sofia,4–4 (a),4.0,4.0,False,False
,,,Werder Bremen,Dinamo Minsk,6–3,6.0,3.0,False,False
,,,Linfield,Copenhagen,3–4,3.0,4.0,False,False
,,,Aarau,Milan,0–1,0.0,1.0,False,False
,,,AIK,Sparta Prague,1–2,1.0,2.0,False,False
,,,HJK,Anderlecht,0–6,0.0,6.0,False,False
,,,Kispest Honvéd,Manchester United,3–5,3.0,5.0,False,False
,,,Galatasaray,Cork City,3–1,3.0,1.0,False,False
,,,Lech Poznań,Beitar Jerusalem,7–2,7.0,2.0,False,False
,,,Skonto,Spartak Moscow,0–9,0.0,9.0,False,False
,,,Dynamo Kyiv,Barcelona,4–5,4.0,5.0,False,False
,,,Rosenborg,Austria Wien,4–5,4.0,5.0,False,False
,,,Porto,Feyenoord,1–0,1.0,0.0,False,False
,,,Monaco,Steaua București,4–2,4.0,2.0,False,False
,,,Levski Sofia,Werder Bremen,2–3,2.0,3.0,False,False
,,,Copenhagen,Milan,0–7,0.0,7.0,False,False
,,,Sparta Prague,Anderlecht,2–5,2.0,5.0,False,False
,,,Manchester United,Galatasaray,3–3 (a),3.0,3.0,False,False
,,,Lech Poznań,Spartak Moscow,2–7,2.0,7.0,False,False
,,,Barcelona,Austria Wien,5–1,5.0,1.0,False,False
,,,Milan,Monaco,3–0,3.0,0.0,False,False
,,,Barcelona,Porto,3–0,3.0,0.0,False,False
,,,Avenir Beggen,Galatasaray,1–9,1.0,9.0,False,False
,,,Sparta Prague,IFK Göteborg,1–2,1.0,2.0,False,False
,,,Silkeborg,Dynamo Kyiv,1–3,1.0,3.0,False,False
,,,Paris Saint-Germain,Vác Samsung,5–1,5.0,1.0,False,False
,,,Legia Warsaw,Hajduk Split,0–5,0.0,5.0,False,False
,,,Steaua București,Servette,5–2,5.0,2.0,False,False
,,,AEK Athens,Rangers,3–0,3.0,0.0,False,False
,,,Maccabi Haifa,Casino Salzburg,2–5,2.0,5.0,False,False
,,,Bayern Munich,IFK Göteborg,2–2 (a),2.0,2.0,False,False
,,,Hajduk Split,Ajax,0–3,0.0,3.0,False,False
,,,Barcelona,Paris Saint-Germain,2–3,2.0,3.0,False,False
,,,Milan,Benfica,2–0,2.0,0.0,False,False
,,,Bayern Munich,Ajax,2–5,2.0,5.0,False,False
,,,Paris Saint-Germain,Milan,0–3,0.0,3.0,False,False
,,,Grasshopper,Maccabi Tel Aviv,2–1,2.0,1.0,False,False
,,,Rangers,Anorthosis Famagusta,1–0,1.0,0.0,False,False
,,,Legia Warsaw,IFK Göteborg,3–1,3.0,1.0,False,False
,,,Casino Salzburg,Steaua București,0–1,0.0,1.0,False,False
,,,Dynamo Kyiv,AaB,4–1,4.0,1.0,False,False
,,,Rosenborg,Beşiktaş,4–3,4.0,3.0,False,False
,,,Anderlecht,Ferencváros,1–2,1.0,2.0,False,False
,,,Panathinaikos,Hajduk Split,1–1 (a),1.0,1.0,False,False
,,,Real Madrid,Juventus,1–2,1.0,2.0,False,False
,,,Nantes,Spartak Moscow,4–2,4.0,2.0,False,False
,,,Borussia Dortmund,Ajax,0–3,0.0,3.0,False,False
,,,Legia Warsaw,Panathinaikos,0–3,0.0,3.0,False,False
,,,Juventus,Nantes,4–3,4.0,3.0,False,False
,,,Ajax,Panathinaikos,3–1,3.0,1.0,False,False
,,,Maccabi Tel Aviv,Fenerbahçe,1–2,1.0,2.0,False,False
,,,Rangers,Alania Vladikavkaz,10–3,10.0,3.0,False,False
,,,Panathinaikos,Rosenborg,1–3,1.0,3.0,False,False
,,,IFK Göteborg,Ferencváros,4–1,4.0,1.0,False,False
,,,Widzew Łódź,Brøndby,4–4 (a),4.0,4.0,False,False
,,,Grasshopper,Slavia Prague,6–0,6.0,0.0,False,False
,,,Club Brugge,Steaua București,2–5,2.0,5.0,False,False
,,,Rapid Wien,Dynamo Kyiv,6–2,6.0,2.0,False,False
,,,Borussia Dortmund,Auxerre,4–1,4.0,1.0,False,False
,,,Manchester United,Porto,4–0,4.0,0.0,False,False
,,,Ajax,Atlético Madrid,4–3,4.0,3.0,False,False
,,,Rosenborg,Juventus,1–3,1.0,3.0,False,False
,,,Borussia Dortmund,Manchester United,2–0,2.0,0.0,False,False
,,,Ajax,Juventus,2–6,2.0,6.0,False,False
,,,Derry City,Maribor,0–3,0.0,3.0,False,False
,,,Pyunik,MTK,3–6,3.0,6.0,False,False
,,,Crusaders,Dinamo Tbilisi,2–8,2.0,8.0,False,False
,,,Košice,ÍA,4–0,4.0,0.0,False,False
,,,Partizan,Croatia Zagreb,1–5,1.0,5.0,False,False
,,,Valletta,Skonto,1–2,1.0,2.0,False,False
,,,Sileks,Beitar Jerusalem,1–3,1.0,3.0,False,False
,,,Steaua București,CSKA Sofia,5–3,5.0,3.0,False,False
,,,Constructorul Chișinău,MPKC Mozyr,3–4,3.0,4.0,False,False
,,,Lantana,Jazz,0–3,0.0,3.0,False,False
,,,GÍ,Rangers,0–11,0.0,11.0,False,False
,,,Neftçi,Widzew Łódź,0–10,0.0,10.0,False,False
,,,Dynamo Kyiv,Barry Town,6–0,6.0,0.0,False,False
,,,Sion,Jeunesse Esch,5–0,5.0,0.0,False,False
,,,Anorthosis Famagusta,Kareda,4–1,4.0,1.0,False,False
,,,Beşiktaş,Maribor,3–1,3.0,1.0,False,False
,,,MTK,Rosenborg,1–4,1.0,4.0,False,False
,,,Sion,Galatasaray,2–8,2.0,8.0,False,False
,,,Olympiacos,MPKC Mozyr,7–2,7.0,2.0,False,False
,,,Wüstenrot Salzburg,Sparta Prague,0–3,0.0,3.0,False,False
,,,IFK Göteborg,Rangers,4–1,4.0,1.0,False,False
,,,Barcelona,Skonto,4–2,4.0,2.0,False,False
,,,Brøndby,Dynamo Kyiv,3–4,3.0,4.0,False,False
,,,Newcastle United,Croatia Zagreb,4–3,4.0,3.0,False,False
,,,Feyenoord,Jazz,8–3,8.0,3.0,False,False
,,,Bayer Leverkusen,Dinamo Tbilisi,6–2,6.0,2.0,False,False
,,,Košice,Spartak Moscow,2–1,2.0,1.0,False,False
,,,Steaua București,Paris Saint-Germain,3–5,3.0,5.0,False,False
,,,Widzew Łódź,Parma,1–7,1.0,7.0,False,False
,,,Beitar Jerusalem,Sporting CP,0–3,0.0,3.0,False,False
,,,Anorthosis Famagusta,Lierse,2–3,2.0,3.0,False,False
,,,Bayer Leverkusen,Real Madrid,1–4,1.0,4.0,False,False
,,,Bayern Munich,Borussia Dortmund,0–1,0.0,1.0,False,False
,,,Juventus,Dynamo Kyiv,5–2,5.0,2.0,False,False
,,,Monaco,Manchester United,1–1 (a),1.0,1.0,False,False
,,,Real Madrid,Borussia Dortmund,2–0,2.0,0.0,False,False
,,,Juventus,Monaco,6–4,6.0,4.0,False,False
,,,Sileks,Club Brugge,1–2,1.0,2.0,False,False
,,,ŁKS Łódź,Kapaz,7–2,7.0,2.0,False,False
,,,Litex Lovech,Halmstads BK,3–2,3.0,2.0,False,False
,,,Grasshopper,Jeunesse Esch,8–0,8.0,0.0,False,False
,,,Celtic,St Patrick's Athletic,2–0,2.0,0.0,False,False
,,,Kareda,Maribor,0–4,0.0,4.0,False,False
,,,Dynamo Kyiv,Barry Town,10–1,10.0,1.0,False,False
,,,Cliftonville,Košice,1–13,1.0,13.0,False,False
,,,Skonto,Dinamo Minsk,2–1,2.0,1.0,False,False
,,,Valletta,Anorthosis Famagusta,0–8,0.0,8.0,False,False
,,,Beitar Jerusalem,B36,5–1,5.0,1.0,False,False
,,,Dinamo Tbilisi,Vllaznia,4–3,4.0,3.0,False,False
,,,HJK,Yerevan,5–0,5.0,0.0,False,False
,,,Obilić,ÍBV,4–1,4.0,1.0,False,False
,,,Zimbru Chișinău,Újpest,2–3,2.0,3.0,False,False
,,,Steaua București,Flora,5–4,5.0,4.0,False,False
,,,Rosenborg,Club Brugge,4–4 (a),4.0,4.0,False,False
,,,Manchester United,ŁKS Łódź,2–0,2.0,0.0,False,False
,,,Litex Lovech,Spartak Moscow,2–11,2.0,11.0,False,False
,,,Galatasaray,Grasshopper,5–3,5.0,3.0,False,False
,,,Celtic,Croatia Zagreb,1–3,1.0,3.0,False,False
,,,Maribor,PSV Eindhoven,3–5,3.0,5.0,False,False
,,,Dynamo Kyiv,Sparta Prague,1–1 (3–1 p),1.0,1.0,False,False
,,,Košice,Brøndby,1–2,1.0,2.0,False,False
,,,Internazionale,Skonto,7–1,7.0,1.0,False,False
,,,Olympiacos,Anorthosis Famagusta,6–3,6.0,3.0,False,False
,,,Benfica,Beitar Jerusalem,8–4,8.0,4.0,False,False
,,,Dinamo Tbilisi,Athletic Bilbao,2–2 (a),2.0,2.0,False,False
,,,HJK,Metz,2–1,2.0,1.0,False,False
,,,Bayern Munich,Obilić,5–1,5.0,1.0,False,False
,,,Sturm Graz,Újpest,7–2,7.0,2.0,False,False
,,,Steaua București,Panathinaikos,5–8,5.0,8.0,False,False
