Season_year,Season,Home_team,Away_team,Score,Home_goals,Away_goals,Extra_time,Penalties
1992,1992–93 UEFA Champions League,Shelbourne,Tavriya Simferopol,1–2,1.0,2.0,False,False
1992,1992–93 UEFA Champions League,Valletta,Maccabi Tel Aviv,1–3,1.0,3.0,False,False
1992,1992–93 UEFA Champions League,KÍ,Skonto,1–6,1.0,6.0,False,False
1992,1992–93 UEFA Champions League,Olimpija Ljubljana,Norma Tallinn,5–0,5.0,0.0,False,False
1992,1992–93 UEFA Champions League,IFK Göteborg,Beşiktaş,3–2,3.0,2.0,False,False
1992,1992–93 UEFA Champions League,Lech Poznań,Skonto,2–0,2.0,0.0,False,False
1992,1992–93 UEFA Champions League,Rangers,Lyngby,3–0,3.0,0.0,False,False
1992,1992–93 UEFA Champions League,Slovan Bratislava,Ferencváros,4–1,4.0,1.0,False,False
1992,1992–93 UEFA Champions League,Milan,Olimpija Ljubljana,7–0,7.0,0.0,False,False
1992,1992–93 UEFA Champions League,Kuusysi,Dinamo București,1–2,1.0,2.0,False,False
1992,1992–93 UEFA Champions League,Glentoran,Marseille,0–8,0.0,8.0,False,False
1992,1992–93 UEFA Champions League,Maccabi Tel Aviv,Club Brugge,0–4,0.0,4.0,False,False
1992,1992–93 UEFA Champions League,Austria Wien,CSKA Sofia,5–4,5.0,4.0,False,False
1992,1992–93 UEFA Champions League,Sion,Tavriya Simferopol,7–2,7.0,2.0,False,False
1992,1992–93 UEFA Champions League,Union Luxembourg,Porto,1–9,1.0,9.0,False,False
1992,1992–93 UEFA Champions League,AEK Athens,APOEL,3–3 (a),3.0,3.0,False,False
1992,1992–93 UEFA Champions League,PSV Eindhoven,Žalgiris,8–0,8.0,0.0,False,False
1992,1992–93 UEFA Champions League,Víkingur Reykjavík,CSKA Moscow,2–5,2.0,5.0,False,False
1992,1992–93 UEFA Champions League,Barcelona,Viking,1–0,1.0,0.0,False,False
1992,1992–93 UEFA Champions League,IFK Göteborg,Lech Poznań,4–0,4.0,0.0,False,False
1992,1992–93 UEFA Champions League,Rangers,Leeds United,4–2,4.0,2.0,False,False
1992,1992–93 UEFA Champions League,Slovan Bratislava,Milan,0–5,0.0,5.0,False,False
1992,1992–93 UEFA Champions League,Dinamo București,Marseille,0–2,0.0,2.0,False,False
1992,1992–93 UEFA Champions League,Club Brugge,Austria Wien,3–3 (a),3.0,3.0,False,False
1992,1992–93 UEFA Champions League,Sion,Porto,2–6,2.0,6.0,False,False
1992,1992–93 UEFA Champions League,AEK Athens,PSV Eindhoven,1–3,1.0,3.0,False,False
1992,1992–93 UEFA Champions League,CSKA Moscow,Barcelona,4–3,4.0,3.0,False,False
1993,1993–94 UEFA Champions League,HJK,Norma Tallinn,2–1,2.0,1.0,False,False
1993,1993–94 UEFA Champions League,Ekranas,Floriana,0–2,0.0,2.0,False,False
1993,1993–94 UEFA Champions League,B68,Croatia Zagreb,0–11,0.0,11.0,False,False
1993,1993–94 UEFA Champions League,Skonto,Olimpija Ljubljana,1–1 (11–10 p),1.0,1.0,False,False
1993,1993–94 UEFA Champions League,Cwmbrân Town,Cork City,4–4 (a),4.0,4.0,False,False
1993,1993–94 UEFA Champions League,Avenir Beggen,Rosenborg,0–3,0.0,3.0,False,False
1993,1993–94 UEFA Champions League,Partizani,ÍA,0–3,0.0,3.0,False,False
1993,1993–94 UEFA Champions League,Omonia,Aarau,2–3,2.0,3.0,False,False
1993,1993–94 UEFA Champions League,Zimbru Chișinău,Beitar Jerusalem,1–3,1.0,3.0,False,False
1993,1993–94 UEFA Champions League,Porto,Floriana,2–0,2.0,0.0,False,False
1993,1993–94 UEFA Champions League,ÍA,Feyenoord,1–3,1.0,3.0,False,False
1993,1993–94 UEFA Champions League,Monaco,AEK Athens,2–1,2.0,1.0,False,False
1993,1993–94 UEFA Champions League,Steaua București,Croatia Zagreb,4–4 (a),4.0,4.0,False,False
1993,1993–94 UEFA Champions League,Rangers,Levski Sofia,4–4 (a),4.0,4.0,False,False
1993,1993–94 UEFA Champions League,Werder Bremen,Dinamo Minsk,6–3,6.0,3.0,False,False
1993,1993–94 UEFA Champions League,Linfield,Copenhagen,3–4,3.0,4.0,False,False
1993,1993–94 UEFA Champions League,Aarau,Milan,0–1,0.0,1.0,False,False
1993,1993–94 UEFA Champions League,AIK,Sparta Prague,1–2,1.0,2.0,False,False
1993,1993–94 UEFA Champions League,HJK,Anderlecht,0–6,0.0,6.0,False,False
1993,1993–94 UEFA Champions League,Kispest Honvéd,Manchester United,3–5,3.0,5.0,False,False
1993,1993–94 UEFA Champions League,Galatasaray,Cork City,3–1,3.0,1.0,False,False
1993,1993–94 UEFA Champions League,Lech Poznań,Beitar Jerusalem,7–2,7.0,2.0,False,False
